Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
50.4,2520.0,29.4289
50.5,2525.0,29.2977
50.6,2530.0,29.1619
50.7,2535.0,29.0279
50.8,2540.0,28.8954
50.9,2545.0,28.7645
51.0,2550.0,28.6348
51.1,2555.0,28.5012
51.2,2560.0,28.3689
51.3,2565.0,28.2344
51.4,2570.0,28.1021
51.5,2575.0,27.9677
51.6,2580.0,27.8328
51.7,2585.0,27.6943
51.8,2590.0,27.5589
51.9,2595.0,27.4215
52.0,2600.0,27.2861
52.1,2605.0,27.147
52.2,2610.0,27.0072
52.3,2615.0,26.8685
52.4,2620.0,26.7304
52.5,2625.0,26.5909
52.6,2630.0,26.4515
52.7,2635.0,26.3023
52.8,2640.0,26.1571
52.9,2645.0,26.0141
53.0,2650.0,25.8687
53.1,2655.0,25.7233
53.2,2660.0,25.5737
53.3,2665.0,25.4248
53.4,2670.0,25.2792
53.5,2675.0,25.1298
53.6,2680.0,24.9784
53.7,2685.0,24.8309
53.8,2690.0,24.6804
53.9,2695.0,24.5341
54.0,2700.0,24.3848
54.1,2705.0,24.2343
54.2,2710.0,24.0862
54.3,2715.0,23.9298
54.4,2720.0,23.7826
54.5,2725.0,23.6289
54.6,2730.0,23.4713
54.7,2735.0,23.3193
54.8,2740.0,23.1642
54.9,2745.0,23.0095
55.0,2750.0,22.8561
55.1,2755.0,22.6954
55.2,2760.0,22.5437
55.3,2765.0,22.3888
55.4,2770.0,22.2346
55.5,2775.0,22.0776
55.6,2780.0,21.9204
55.7,2785.0,21.7626
55.8,2790.0,21.6011
55.9,2795.0,21.4399
56.0,2800.0,21.2726
56.1,2805.0,21.1104
56.2,2810.0,20.9498
56.3,2815.0,20.7893
56.4,2820.0,20.624
56.5,2825.0,20.4584
56.6,2830.0,20.2892
56.7,2835.0,20.1191
56.8,2840.0,19.9466
56.9,2845.0,19.7731
57.0,2850.0,19.5976
57.1,2855.0,19.4237
57.2,2860.0,19.2458
57.3,2865.0,19.0661
57.4,2870.0,18.8784
57.5,2875.0,18.6922
57.6,2880.0,18.5021
57.7,2885.0,18.3083
57.8,2890.0,18.1082
57.9,2895.0,17.9062
58.0,2900.0,17.7053
58.1,2905.0,17.5003
58.2,2910.0,17.2934
58.3,2915.0,17.0797
58.4,2920.0,16.8606
58.5,2925.0,16.6431
58.6,2930.0,16.4218
58.7,2935.0,16.1926
58.8,2940.0,15.9604
58.9,2945.0,15.7316
59.0,2950.0,15.4991
59.1,2955.0,15.2685
59.2,2960.0,15.0323
59.3,2965.0,14.7901
59.4,2970.0,14.5472
59.5,2975.0,14.3101
59.6,2980.0,14.0746
59.7,2985.0,13.8423
59.8,2990.0,13.6143
59.9,2995.0,13.3875
60.0,3000.0,13.1603
60.1,3005.0,12.9355
60.2,3010.0,12.7132
60.3,3015.0,12.4934
60.4,3020.0,12.2725
60.5,3025.0,12.0539
60.6,3030.0,11.8379
60.7,3035.0,11.6262
60.8,3040.0,11.4266
60.9,3045.0,11.2281
61.0,3050.0,11.0321
61.1,3055.0,10.8421
61.2,3060.0,10.6622
61.3,3065.0,10.4879
61.4,3070.0,10.3166
61.5,3075.0,10.1441
61.6,3080.0,9.9734
61.7,3085.0,9.80515
61.8,3090.0,9.6395
61.9,3095.0,9.48146
62.0,3100.0,9.32725
62.1,3105.0,9.17388
62.2,3110.0,9.02147
62.3,3115.0,8.87399
62.4,3120.0,8.72653
62.5,3125.0,8.57973
62.6,3130.0,8.43701
62.7,3135.0,8.29589
62.8,3140.0,8.15539
62.9,3145.0,8.01509
63.0,3150.0,7.87738
63.1,3155.0,7.74053
63.2,3160.0,7.60529
63.3,3165.0,7.46927
63.4,3170.0,7.33851
63.5,3175.0,7.20665
63.6,3180.0,7.07965
63.7,3185.0,6.95413
63.8,3190.0,6.83109
63.9,3195.0,6.70966
64.0,3200.0,6.59188
64.1,3205.0,6.47708
64.2,3210.0,6.36054
64.3,3215.0,6.24485
64.4,3220.0,6.13668
64.5,3225.0,6.03437
64.6,3230.0,5.93405
64.7,3235.0,5.83598
64.8,3240.0,5.74496
64.9,3245.0,5.65693
65.0,3250.0,5.5699
65.1,3255.0,5.48446
65.2,3260.0,5.40221
65.3,3265.0,5.32261
65.4,3270.0,5.24634
65.5,3275.0,5.16892
65.6,3280.0,5.09672
65.7,3285.0,5.02666
65.8,3290.0,4.95824
65.9,3295.0,4.89408
66.0,3300.0,4.83259
66.1,3305.0,4.77211
66.2,3310.0,4.71772
66.3,3315.0,4.6617
66.4,3320.0,4.60846
66.5,3325.0,4.55593
66.6,3330.0,4.50391
66.7,3335.0,4.4541
66.8,3340.0,4.40406
66.9,3345.0,4.35499
67.0,3350.0,4.30513
67.1,3355.0,4.25559
67.2,3360.0,4.2068
67.3,3365.0,4.15766
67.4,3370.0,4.11014
67.5,3375.0,4.06439
67.6,3380.0,4.01811
67.7,3385.0,3.97154
67.8,3390.0,3.92235
67.9,3395.0,3.87685
68.0,3400.0,3.82951
68.1,3405.0,3.78208
68.2,3410.0,3.73276
68.3,3415.0,3.68172
68.4,3420.0,3.63344
68.5,3425.0,3.58686
