Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
48.9,2445.0,13.1564
49.0,2450.0,13.1203
49.1,2455.0,13.0853
49.2,2460.0,13.0508
49.3,2465.0,13.0164
49.4,2470.0,12.9818
49.5,2475.0,12.9472
49.6,2480.0,12.9126
49.7,2485.0,12.8773
49.8,2490.0,12.8432
49.9,2495.0,12.8098
50.0,2500.0,12.7763
50.1,2505.0,12.7429
50.2,2510.0,12.7103
50.3,2515.0,12.6781
50.4,2520.0,12.6461
50.5,2525.0,12.6138
50.6,2530.0,12.5816
50.7,2535.0,12.5495
50.8,2540.0,12.5177
50.9,2545.0,12.4863
51.0,2550.0,12.4547
51.1,2555.0,12.4228
51.2,2560.0,12.3909
51.3,2565.0,12.36
51.4,2570.0,12.3297
51.5,2575.0,12.2995
51.6,2580.0,12.2698
51.7,2585.0,12.2375
51.8,2590.0,12.2079
51.9,2595.0,12.1784
52.0,2600.0,12.1491
52.1,2605.0,12.1195
52.2,2610.0,12.09
52.3,2615.0,12.0604
52.4,2620.0,12.031
52.5,2625.0,12.0018
52.6,2630.0,11.9727
52.7,2635.0,11.9436
52.8,2640.0,11.9152
52.9,2645.0,11.8857
53.0,2650.0,11.8579
53.1,2655.0,11.8299
53.2,2660.0,11.8019
53.3,2665.0,11.7737
53.4,2670.0,11.7453
53.5,2675.0,11.7168
53.6,2680.0,11.6887
53.7,2685.0,11.6607
53.8,2690.0,11.633
53.9,2695.0,11.6057
54.0,2700.0,11.5777
54.1,2705.0,11.5506
54.2,2710.0,11.5236
54.3,2715.0,11.4952
54.4,2720.0,11.4678
54.5,2725.0,11.4406
54.6,2730.0,11.4135
54.7,2735.0,11.3864
54.8,2740.0,11.3593
54.9,2745.0,11.3322
55.0,2750.0,11.3053
55.1,2755.0,11.2787
55.2,2760.0,11.2491
55.3,2765.0,11.2222
55.4,2770.0,11.1957
55.5,2775.0,11.1691
55.6,2780.0,11.1427
55.7,2785.0,11.1161
55.8,2790.0,11.0895
55.9,2795.0,11.0629
56.0,2800.0,11.0358
56.1,2805.0,11.0089
56.2,2810.0,10.9823
56.3,2815.0,10.9561
56.4,2820.0,10.9296
56.5,2825.0,10.903
56.6,2830.0,10.8763
56.7,2835.0,10.8491
56.8,2840.0,10.8224
56.9,2845.0,10.7961
57.0,2850.0,10.77
57.1,2855.0,10.744
57.2,2860.0,10.7179
57.3,2865.0,10.6918
57.4,2870.0,10.6657
57.5,2875.0,10.6395
57.6,2880.0,10.6117
57.7,2885.0,10.5854
57.8,2890.0,10.5592
57.9,2895.0,10.533
58.0,2900.0,10.5068
58.1,2905.0,10.4806
58.2,2910.0,10.4544
58.3,2915.0,10.4284
58.4,2920.0,10.4024
58.5,2925.0,10.3765
58.6,2930.0,10.3507
58.7,2935.0,10.3251
58.8,2940.0,10.2994
58.9,2945.0,10.2734
59.0,2950.0,10.2476
59.1,2955.0,10.2218
59.2,2960.0,10.196
59.3,2965.0,10.1704
59.4,2970.0,10.1449
59.5,2975.0,10.1194
